video_idx,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh
25,0.8640710382513661,0.2714285714285714,0.1554754393871113,0.5661654135338345,0.3807215939687668,0.8353383458646616,0.6289707750952986,0.9406015037593985,0.7265993265993266,0.9646616541353383,0.7312626603646185,0.5246059590830244,0.7156390977443609
7,0.842930029154519,0.5015068021353539,0.3017996496257366,0.7659290511451696,0.5372367101303912,0.9226364732219735,0.71266936723006,0.9653004993972791,0.7702219815917705,0.9865679352505596,0.8007710666421883,0.6245397550440293,0.8283881522300671
20,0.835987946620749,0.47080155058146805,0.29447012497859953,0.6820057521570589,0.4767578125,0.832062023258722,0.6344574146130566,0.9195948480680255,0.7325847846012832,0.9533575090658997,0.7672081336917144,0.5810956540769306,0.7715643366262348
1,0.8353603603603603,0.4896487985212569,0.29214729370008874,0.6807763401109057,0.45080946450809467,0.799630314232902,0.5601982054372573,0.9354898336414048,0.6984983233707538,0.9878003696857671,0.7651515151515151,0.5533609604335419,0.7786691312384473
26,0.9251873338167754,0.5277273905156776,0.3471254355400697,0.7908784659238145,0.6232812007977327,0.9381964239440269,0.8234877962504422,0.9847110650427572,0.8966151582045622,0.9997408655091993,0.9230290972394927,0.7227077376064599,0.8482508421870951
5,0.8788676761026991,0.561525129982669,0.35118823085628065,0.8139803581744657,0.5758908930928288,0.9428076256499134,0.6912181303116147,0.951473136915078,0.6976303317535545,0.9532062391681109,0.6992409867172675,0.6030337145463093,0.8445984979780473
2,0.6965271015903928,0.3654860587792012,0.17815397017331722,0.6322532027128862,0.3340940209949795,0.8138658628485306,0.432843137254902,0.881688018085908,0.4615,0.9238884702336096,0.47775530839231545,0.3768692873631028,0.723436322532027
19,0.8250066085117631,0.2771787960467206,0.1429249762583096,0.5588499550763701,0.3290999447818885,0.7762803234501348,0.5133605784344546,0.9070080862533693,0.6480657309140705,0.9869721473495059,0.7423090843286283,0.4751520629434703,0.7012578616352201
6,0.8505568505568506,0.469205298013245,0.2855691056910569,0.7400662251655629,0.5355668851663025,0.9069536423841059,0.7324020816214736,0.9440397350993377,0.7786839145106862,0.9725165562913908,0.8180511641276229,0.6300546302234284,0.8065562913907284
22,0.790573222187918,0.31284396558406324,0.16488925348646433,0.6304162468025735,0.3958517644745896,0.8962095961553368,0.6593631317557698,0.977831175877839,0.7404093638926339,0.9936439035733664,0.748553133850511,0.5418133294919938,0.7621889775986358
8,0.8878748370273793,0.47879973907371165,0.2969469900258215,0.8105022831050228,0.6319041855131554,0.9490378343118069,0.8217765450536946,0.976761252446184,0.8554251774590758,0.9849967384213959,0.8632528367762584,0.6938611469656012,0.8400195694716242
28,0.9355062413314841,0.5527078225986183,0.380475302889096,0.775573880098061,0.6169380514873101,0.9283485625139292,0.8364500464924063,0.9804992199687987,0.9178895123003884,0.9921996879875195,0.9270381613183001,0.7357582148975002,0.8458658346333854
0,0.999625468164794,0.233083645443196,0.1319434628975265,0.5378277153558052,0.3679221111965155,0.8429463171036204,0.7282045748813121,0.9882646691635456,0.976431391905232,1.0,0.999625468164794,0.640825401809076,0.7204244694132335
9,0.6904063678257226,0.16005522319374138,0.08182894347440071,0.33511274735388863,0.1782433521353747,0.5470777726645191,0.3058466301500357,0.7397146801656695,0.43091075156576203,0.8435342843994478,0.48386442053988227,0.29613881957309107,0.5250989415554532
27,0.8795685795685796,0.36251853978278553,0.20813291314203572,0.6644179704320368,0.4580302929205311,0.9046935553322808,0.7383850437549722,0.9776565714559112,0.8469698250359226,0.9911965934644276,0.865815651282927,0.6234667452272777,0.7800966460934884
23,0.8891385767790262,0.5826184838722198,0.40335884468723804,0.7999844738578582,0.6341878188574668,0.9079299770989403,0.7726915587742972,0.9713154523929667,0.8492569758739889,0.984163335015332,0.8643385787166774,0.7047667553819336,0.8492023444474635
14,0.9513870185833557,0.3342810010178653,0.19757762424040623,0.6259871538380541,0.4467154385700279,0.865255694780808,0.7416543082836475,0.9688673616229686,0.9044876886417792,0.9936822154364536,0.9418910710670176,0.6464652261605757,0.7576146853392299
13,0.8914628914628915,0.2665865074934513,0.15599339011058855,0.5588096362777515,0.3906355128754052,0.8545111006140765,0.7231696225557072,0.9580882037188131,0.8465380710659899,0.9850989822647829,0.8829351111847281,0.5998543415584837,0.724618886073775
29,0.9623697580297942,0.553506192640114,0.3751510026576468,0.8551189521518311,0.7272589333131022,0.9723781520092667,0.9159303206261045,0.9920698565445959,0.9512341446691807,0.9986634589681903,0.9623340803309774,0.7863816963194022,0.8743473224627996
17,0.8987086359967716,0.34191508581752483,0.19889211289897124,0.6702800361336947,0.4792514239218877,0.8484643179765131,0.686456400742115,0.9437669376693767,0.8111177525403467,0.9911924119241192,0.8823773037896044,0.611618998778585,0.7591237579042457
4,0.8739086875626163,0.7089236887894605,0.5124515771997786,0.8555804126273925,0.6394721055788842,0.937857320407656,0.7177875549968573,0.9475515784240617,0.7290172922817376,0.9587372607506836,0.744468085106383,0.6686393230327281,0.881730052199851
11,0.7914896963976719,0.38789531079607414,0.2178025557504385,0.6899672846237732,0.45909636745722004,0.9102508178844056,0.6732076770806438,0.9865866957470011,0.7487631555275703,0.9928026172300981,0.7528626814534307,0.5703464874538607,0.7935005452562705
16,1.0,0.8497959183673469,0.7388218594748048,0.9824489795918367,0.9655034095467309,1.0,1.0,1.0,1.0,1.0,1.0,0.9408650538043071,0.9664489795918367
10,0.949256993006993,0.5507431268737641,0.3701287328137315,0.8370861772022709,0.6874831472792968,0.9735918862027173,0.8979195729969066,0.9905594182560439,0.9267857142857143,0.9906869936850162,0.9267857142857143,0.7618205763322727,0.8685335204439625
3,0.9163511187607574,0.5275520919692699,0.3683018278394001,0.8499419665063837,0.7488144561473569,0.9540153650583099,0.8807171999141078,0.9743547228209805,0.8888289842570628,0.9866246614712872,0.8922977206438371,0.7557920377603529,0.8584977615652463
21,0.9837063857801185,0.6588634295640665,0.4919848981865445,0.9018942840598891,0.8186344775556393,0.9851931507982463,0.9607938831950545,0.9999172801720573,0.9837063857801185,1.0,0.9837063857801185,0.847765206099495,0.9091736289188518
24,0.9480475951064187,0.7374897456931911,0.5687519847570658,0.9538556193601313,0.8701495362483438,0.9985643970467596,0.9387755102040817,0.9997949138638228,0.9391560353287537,0.9997949138638228,0.9391560353287537,0.8511978203733997,0.9378999179655455
15,0.9657712627427636,0.5547259460376718,0.39195678271308526,0.8646699473952146,0.7778288868445262,0.9647038859664008,0.9345958121298072,0.9899881215000849,0.9564667172867628,0.9958425250296963,0.9569620253164557,0.8035620448581275,0.8739860851858137
18,0.811778135911899,0.30397991445043704,0.16673655519446484,0.5509577831504556,0.34219729860106124,0.808257392598103,0.5932288311502398,0.9408592151757486,0.7440256992870015,0.9846568718616329,0.7722133757961783,0.5236803520057892,0.7177422354472754
12,0.9936519790888723,0.7506832532277825,0.5984364429076148,0.9394025068325322,0.8810208324118713,0.9940156441428706,0.9821029082774049,0.9964188106681745,0.9866398841500443,0.9984450098953915,0.9905452843435525,0.8877490704180975,0.9357930449533504
average,0.8855026132093767,0.4714692342763506,0.3123139094519231,0.7306913606918842,0.5586865976292427,0.8937024591840513,0.7412888206421241,0.9576924287972399,0.8148153358227024,0.9798224737310683,0.8368600713910488,0.6527929469874084,0.8066755913361187
